ndc,front_path,back_path,split
00002-3235-60,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00002-3235-60_NLMIMAGE10_1B158D9C.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00002-3235-60_NLMIMAGE10_1B158D9C.jpg,train
00002-3240-30,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00002-3240-30_NLMIMAGE10_A91354BA.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00002-3240-30_NLMIMAGE10_A91354BA.jpg,train
00002-3270-30,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00002-3270-30_NLMIMAGE10_A91354EA.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00002-3270-30_NLMIMAGE10_A91354EA.jpg,val
00007-3370-61,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00007-3370-61_NLMIMAGE10_D119689B.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00007-3370-61_NLMIMAGE10_D119689B.jpg,train
00007-3371-61,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00007-3371-61_NLMIMAGE10_D4196A4B.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00007-3371-61_NLMIMAGE10_D4196A4B.jpg,train
00007-3373-13,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00007-3373-13_NLMIMAGE10_AC13566A.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00007-3373-13_NLMIMAGE10_AC13566A.jpg,train
00007-3650-22,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00007-3650-22_NLMIMAGE10_4C192669.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00007-3650-22_NLMIMAGE10_4C192669.jpg,train
00008-0833-21,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00008-0833-21_NLMIMAGE10_3015981C.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00008-0833-21_NLMIMAGE10_3015981C.jpg,train
00008-0836-22,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00008-0836-22_NLMIMAGE10_2D15969C.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00008-0836-22_NLMIMAGE10_2D15969C.jpg,train
00008-0837-22,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00008-0837-22_NLMIMAGE10_3015984C.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00008-0837-22_NLMIMAGE10_3015984C.jpg,val
00009-0331-02,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00009-0331-02_NLMIMAGE10_070803D0.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00009-0331-02_NLMIMAGE10_070803D0.jpg,train
00025-1520-31,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00025-1520-31_NLMIMAGE10_5B39ADCD.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00025-1520-31_NLMIMAGE10_5B39ADCD.jpg,val
00025-1525-31,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00025-1525-31_NLMIMAGE10_5B39ADFD.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00025-1525-31_NLMIMAGE10_5B39ADFD.jpg,train
00054-0007-25,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00054-0007-25_NLMIMAGE10_6F3FB7BD.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00054-0007-25_NLMIMAGE10_6F3FB7BD.jpg,train
00054-0107-29,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00054-0107-29_NLMIMAGE10_E90E74E3.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00054-0107-29_NLMIMAGE10_E90E74E3.jpg,train
00054-0108-29,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00054-0108-29_NLMIMAGE10_B10ED8A6.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00054-0108-29_NLMIMAGE10_B10ED8A6.jpg,train
00054-0109-25,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00054-0109-25_NLMIMAGE10_00268004.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00054-0109-25_NLMIMAGE10_00268004.jpg,train
00054-2531-25,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00054-2531-25_NLMIMAGE10_353D9ACC.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00054-2531-25_NLMIMAGE10_353D9ACC.jpg,train
00069-2600-66,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00069-2600-66_NLMIMAGE10_3A211D78.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00069-2600-66_NLMIMAGE10_3A211D78.jpg,train
00071-0369-24,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/front/00071-0369-24_NLMIMAGE10_E51572CB.jpg,/home/user/Github/pill_classification/pill_yolo/raw_data/splited_aug/back/00071-0369-24_NLMIMAGE10_E51572CB.jpg,train
